ID;UiMin;UiMax;Region;UiMapID;OrderIndex;MapID;AreaID
46721;0,0;1,1;-1716.6666259765625,-7249.99951171875,-1000000,1808.333251953125,-1962.4998779296875,1000000;1411;0;1;14
46722;0,0;1,1;-3835.416015625,-3675,-1000000,266.666015625,2479.1669921875,1000000;1412;0;1;215
46723;0,0;1,1;-5143.75,-7510.41650390625,-1000000,1612.4998779296875,2622.91650390625,1000000;1413;0;1;17
46724;0,0;1,1;-11733.2998046875,-19733.2109375,-1000000,12799.900390625,17066.599609375,1000000;1414;0;1;0
46725;0,0;1,1;-16000,-19199.900390625,-1000000,7466.60009765625,16000,1000000;1415;0;0;0
46726;0,0;1,1;-366.6666564941406,-2016.6666259765625,-1000000,1500,783.3333129882812,1000000;1416;0;0;36
46727;0,0;1,1;-2533.333251953125,-4466.66650390625,-1000000,-133.3333282470703,-866.6666259765625,1000000;1417;0;0;45
46728;0,0;1,1;-7547.91650390625,-4566.66650390625,-1000000,-5889.5830078125,-2079.16650390625,1000000;1418;0;0;3
46729;0,0;1,1;-12800,-4591.66650390625,-1000000,-10566.666015625,-1241.6666259765625,1000000;1419;0;0;4
46730;0,0;1,1;824.9999389648438,-1485.4166259765625,-1000000,3837.499755859375,3033.333251953125,1000000;1420;0;0;85
46731;0,0;1,1;-1133.333251953125,-750,-1000000,1666.6666259765625,3449.999755859375,1000000;1421;0;0;130
46732;0,0;1,1;499.9999694824219,-3883.333251953125,-1000000,3366.66650390625,416.6666564941406,1000000;1422;0;0;28
46733;0,0;1,1;825,-6558.333984375,-1000000,3691.6669921875,-2256.25,1000000;1423;0;0;139
46734;0,0;1,1;-1733.333251953125,-2133.333251953125,-1000000,400,1066.6666259765625,1000000;1424;0;0;267
46735;0,0;1,1;-1100,-5425,-1000000,1466.6666259765625,-1575,1000000;1425;0;0;47
46736;0,0;1,1;-7160.41650390625,-3122.91650390625,-1000000,-3877.083251953125,1802.083251953125,1000000;1426;0;0;1
46737;0,0;1,1;-7587.49951171875,-2554.16650390625,-1000000,-6100,-322.9166564941406,1000000;1427;0;0;51
46738;0,0;1,1;-8983.3330078125,-3195.833251953125,-1000000,-7031.24951171875,-266.6666564941406,1000000;1428;0;0;46
46739;0,0;1,1;-10254.166015625,-1935.4166259765625,-1000000,-7939.5830078125,1535.4166259765625,1000000;1429;0;0;12
46740;0,0;1,1;-11533.3330078125,-3333.333251953125,-1000000,-9866.666015625,-833.3333129882812,1000000;1430;0;0;41
46741;0,0;1,1;-11516.666015625,-1866.6666259765625,-1000000,-9716.666015625,833.3333129882812,1000000;1431;0;0;10
46742;0,0;1,1;-6327.0830078125,-4752.0830078125,-1000000,-4487.5,-1993.7498779296875,1000000;1432;0;0;38
46743;0,0;1,1;-10022.916015625,-3852.083984375,-1000000,-8575,-1681.25,1000000;1433;0;0;44
46744;0,0;1,1;-15422.916015625,-4160.41650390625,-1000000,-11168.75,2220.833251953125,1000000;1434;0;0;33
46745;0,0;1,1;-11150,-4516.66650390625,-1000000,-9620.8330078125,-2222.91650390625,1000000;1435;0;0;8
